HG002	m64012_190920_173625.Q20.fastq
HG002	m64012_190921_234837.Q20.fastq
HG002	m64015_190920_185703.Q20.fastq
HG002	m64015_190922_010918.Q20.fastq
HG00438	m64043_200710_174426.ccs.bam
HG00438	m64043_200711_235708.ccs.bam
HG00438	m64043_200713_062240.ccs.bam
HG00438	m64043_200714_124814.ccs.bam
HG00621	m64136_200710_174522.ccs.bam
HG00621	m64136_200711_235843.ccs.bam
HG00621	m64136_200713_062514.ccs.bam
HG00621	m64136_200714_125149.ccs.bam
HG00735	m64043_200702_173033.ccs.bam
HG00735	m64043_200703_234328.ccs.bam
HG00735	m64043_200705_060840.ccs.bam
HG00735	m64043_200706_123423.ccs.bam
HG01071	m64136_200702_173125.ccs.bam
HG01071	m64136_200703_234438.ccs.bam
HG01071	m64136_200705_061033.ccs.bam
HG01071	m64136_200706_123635.ccs.bam
HG01175	m64043_200618_201934.ccs.bam
HG01175	m64043_200620_173220.ccs.bam
HG01175	m64043_200621_234442.ccs.bam
HG01175	m64043_200623_060946.ccs.bam
HG01361	m54329U_200306_185930.ccs.bam
HG01361	m54329U_200308_194417.ccs.bam
HG01361	m54329U_200310_015838.ccs.bam
HG01361	m54329U_200311_082605.ccs.bam
HG01361	m64076_200221_234426.ccs.bam
HG01978	m64136_200530_164818.ccs.bam
HG01978	m64136_200602_153012.ccs.bam
HG01978	m64136_200603_214308.ccs.bam
HG01978	m64136_200605_040848.ccs.bam
HG02257	m64076_200125_231256.ccs.bam
HG02257	m64076_200127_180545.ccs.bam
HG02257	m64076_200129_001835.ccs.bam
HG02257	m64076_200130_064345.ccs.bam
HG03516	m54329U_200610_234222.ccs.bam
HG03516	m54329U_200612_200443.ccs.bam
HG03516	m54329U_200614_021746.ccs.bam
HG03516	m54329U_200615_084313.ccs.bam
HG01109	m64043_200827_191459.ccs.bam
HG01109	m64043_200829_012836.ccs.bam
HG01109	m64043_200830_075523.ccs.bam
HG01243	m64136_200827_191603.ccs.bam
HG01243	m64136_200829_012933.ccs.bam
HG01243	m64136_200830_075556.ccs.bam
HG02080	m64043_200904_190723.ccs.bam
HG02080	m64043_200906_012211.ccs.bam
HG02080	m64043_200907_074948.ccs.bam
HG03492	m64136_200904_190830.ccs.bam
HG03492	m64136_200906_012331.ccs.bam
HG03492	m64136_200907_075143.ccs.bam
HG01928	m64043_200612_200936.ccs.bam
HG01928	m64043_200614_191756.ccs.bam
HG01928	m64043_200616_013031.ccs.bam
HG01928	m64043_200617_075530.ccs.bam
