WhiteDorper	SRR17188174_subreads.fastq.gz
Ujimqin	SRR17188204_subreads.fastq.gz
Texel	SRR16998308_subreads.fastq.gz
Kazak	SRR17035346_subreads.fastq.gz
PolledDorset	SRR17023437_subreads.fastq.gz
EastFriesian	SRR14226309.fastq.gz
Suffolk	SRR17165102_subreads.fastq.gz
ChinieseMerino	SRR17152798_subreads.fastq.gz
Qiaoke	SRR17155232_subreads.fastq.gz
Romney	SRR17155255_subreads.fastq.gz
Charollais	SRR17138946_subreads.fastq.gz
Yunnan	SRR17138954_subreads.fastq.gz
Kermani	SRR17139387_subreads.fastq.gz
Waggir	SRR25904059_subreads.fastq.gz
Romanov	SRR25905503_subreads.fastq.gz
