WhiteDorper	SRR17188173_1.fastq.gz	SRR17188173_2.fastq.gz
Ujimqin	SRR17188203_1.fastq.gz	SRR17188203_2.fastq.gz
Texel	SRR16998307_1.fastq.gz	SRR16998307_2.fastq.gz
Kazak	SRR17035345_1.fastq.gz	SRR17035345_2.fastq.gz
PolledDorset	SRR17023436_1.fastq.gz	SRR17023436_2.fastq.gz
EastFriesian	SRR14226310_1.fastq.gz	SRR14226310_2.fastq.gz
Suffolk	SRR17165101_1.fastq.gz	SRR17165101_2.fastq.gz
ChinieseMerino	SRR17152797_1.fastq.gz	SRR17152797_2.fastq.gz
Qiaoke	SRR17155231_1.fastq.gz	SRR17155231_2.fastq.gz
Romney	SRR17155254_1.fastq.gz	SRR17155254_2.fastq.gz
Charollais	SRR17138945_1.fastq.gz	SRR17138945_2.fastq.gz
Yunnan	SRR17138953_1.fastq.gz	SRR17138953_2.fastq.gz
Kermani	SRR17139386_1.fastq.gz	SRR17139386_2.fastq.gz
Waggir	SRR25904058_1.fastq.gz	SRR25904058_2.fastq.gz
Romanov	SRR25905502_1.fastq.gz	SRR25905502_2.fastq.gz
